Exist	Tweet 	existence.confidence
0	PostPartisan - Harry Reid's hapless play on immigration and climate change: [link]	1
0	Foes of California's global warming law pour money into a campaign to delay it [link]	0.5198
0	Earth Day Live Chat with Carol Browner, Director of the Office of Energy and Climate Change Policy for the Obama Admin  [link]	0.8899
0	Klein: "A '50-50' chance that the Senate passes a climate change bill this year?" [link]	1
1	@andychrism Yes. I have heard at least one person make the connection between the volcano and global warming.	0.5978
0	RT @redostoneage: NASAs changing Facts; Guess they thought you wouldnt notice #global warming #climate change #eco [link]	0.3467
0	A religious spin on climate change.[link]	0.9514
1	Environmental Groups Praise BASIC Meeting on Climate Change: Environmental groups are giving qualified praise to a... [link]	0.7971
0	Only a Third of Americans Believe Global Warming is Human-Caused: By Bob Ellis on April 26th, 2010 Good news! What... [link]	0.7308
0	Global Warming of the Heart: Earth Day is over. Or is it? Thousands -- perhaps millions -- of conscious actions t... [link]	0.6439
0	In climate data, that "suggests" global warming, and then the assumption that it is our doing. [link]	0.5556
0	Global Warming : Fiction or fact?: Deniers claim either that there is no global warming, or that it is not due to ... [link]	0.8266
0	RT @TheBCast: The B-Cast Interview: Minnesotans for Global Warming' Fight YouTube Takedowns [link]	0.8191
0	Opponents ramp up effort to delay Calif. global warming law [link]	0.6852
0	How many are aware of the World People's Conference On Climate Change and Earth Rights in Bolivia #EarthWeek #Indigenous #1stNations	0.8017
0	Sorry I won't be able to accept the invitation to be a panelist at Bolivia Climate Change Talks [link]	0.911
0	RT @GClugo: RT @guardianscience Climate scientist sues newspaper for 'poisoning' global warming debate [link]	0.9019
0	RT @ sharifkouddous Indigenous groups from across Bolivia arriving at World People's conference on climate change [link]	0.7452
1	Recycling Water; Meat and Global Warming; Peanuts; Rare Grapes ... [link]	0.7774
0	Great article  [link]	1
0	Cuccinelli files motion to force EPA to reopen global warming finding: Virginia Attorney General Ken Cuccinelli ha... [link]	0.7723
0	Don Blankenship: Mine Safety Regulators "As Silly as Global Warming" [link]	1
0	Bring Back The Hair That You Once Had With Nanogen's Nanofibers ...: ... Climate Change, clinical trials collagen,... [link]	1
1	Street-corner Global-warming Counsel: Urgh, certain elements of this item in Sunday's Washington Post, •À_Five Myths... [link]	0.567
0	A religious take on climate change [link]	1
1	Are you ready for the climate change? PLI is with Environmental Regulation & Commercial Implications 2010: How the... [link]	0.5971
1	LIVE TONIGHT: Fellow Heather Rogers joins Climate Change Expert James Hansen to discuss REAL solutions to Climate... [link]	0.8221
1	Plan B: California Braces for Climate Change. [link]	0.5121
1	Plants effective way of tackling global warming|Washington, Apr 30 : Plant leaves account for less than one per .. [link]	0.7967
1	@angiemartinez & it's about 2 be 86 degrees out here in NYC, shiiiiiitttt, fuck glodman/sachs, Obama better get a plan 4 this global warming	0.6122
1	Plants effective way of tackling global warming|Washington, Apr 30 : Plant leaves account for less than one per .. [link]	0.7925
1	Climate change & sustainability will be a key driver of future economic development. Listen at [link]	0.7874
1	Frederic Hague at #PEN: climate change isn't just a alarm bell. It's a whole blinking discotech	0.5778
1	US Generals say: Climate Change Threatens America's Security: The Pentagon has made it well known that it consider... [link]	1
1	Even the generals know climate change is going to screw us. [link]	1
1	Government Report Says Global Warming May Cause Cancer, Mental Illness [link]	0.6224
1	RT @disturbedwater: Climate change increases heat waves, floods: EPA [link]	0.8157
1	RT @sciencedaily: Plants remain an effective way of tackling global warming [link]	1
1	So far in that class I have gotten into "heated discussion" with global climate change denier and w/ student that nothing is "their fault."	1
1	RT @Newsweek: Global Warming Kills Forests In Colorado [link]	1
1	EPA Confirms Climate IS Changing: In another display of the sea change that has occurred at the US Environmental P... [link]	1
1	Must See Places Before They Disappear! : Europe...[PICS]: If Global Warming Predictions prove to be true, the foll... [link]	0.7853
1	RT @quixotecenter: Combating climate change: lessons from the world•À_s indigenous peoples [link]	0.8275
1	@chrisdodd: I live in CT. Please support the climate bill and strong action on climate change!	1
0	RT @nicnunes: RT @EPSclimate: Indigenous tradition used to fight climate change [link]	0.5844
1	RT @danlatorre: James Hansen/Heather Rogers, Green Gone Wrong: False Hope & Real Solutions to Climate Change - 7pm 4/30 [link]	0.7949
1	CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]	0.6021
0	CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]	0.6135
1	CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]	0.5763
1	Climate change melts two glaciers|BILLINGS, Mont. ? Glacier National Park has lost two more of its namesake .. [link]	1
1	CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]	0.8243
1	CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]	0.6065
1	CLIMATE CHANGE: Forests Not for Absorbing Carbon [link]	1
1	RT @danielsaudade: What beautiful fall weather this morning, New York! Thanks climate change! Bleh!	0.5857
1	What beautiful fall weather this morning, New York! Thanks climate change! Bleh!	0.6105
1	Climate Change Threatens Japan's Cherry Blossoms | Environment ...: If you aren't familiar with the culture, Japan... [link]	1
1	Wed @sciam podcast: Mountain Vs. Valley Temps Stretch Apart With Climate Change [link]	1
1	Mountain Vs. Valley Temps Stretch Apart With Climate Change [link]	0.8166
1	CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]	0.6329
1	Global warming report urges governments to act|BRUSSELS, Belgium (AP) - The world faces increased hunger and .. [link]	1
1	Arctic rain in April 'is sign of global warming'|The Canadian Arctic has been hit by rain in a sign that the .. [link]	1
1	Arctic rain in April 'is sign of global warming'|The Canadian Arctic has been hit by rain in a sign that the .. [link]	1
1	RT @Newsweek: Global Warming Kills Forests In Colorado [link]	1
1	Microbes Contribute Less to Global Warming|New Haven, Conn. .. [link]	0.6448
1	Microbes Contribute Less to Global Warming|New Haven, Conn. .. [link]	0.8133
1	South Asian nations to fight climate change: Foreign ministers of eight South Asian nations met in this secluded H... [link]	0.5862
1	Climate change increases heat waves, floods|WASHINGTON (Reuters) - Deaths from heat waves, property damage from .. [link]	1
1	James Hansen & Heather Rogers - Green Gone Wrong: False Hope & Real Solutions to Climate Change - 7pm 4/30 @Demos_Org [link]	0.5699
1	I LOVE FROG's LEAP!!!! Seriously. RT @grist: What climate change means for the wine industry (via @theclimatedesk) [link]	0.819
1	Report: Save the Whales and They'll Save Us from Global Warming [link]	0.823
0	RT @indiaenvportal: The contribution of organic agriculture to climate change mitigation [link]	0.621
1	Arctic Beauty in Black and White: Alaska Before the Effects of Global Warming [Slide Show]:  Toward the end of Wor... [link]	1
1	#EPA report documents "very real" impacts from #climate change in 22 of 24 indicators studied: [link]	1
1	#Canadian #CEOs more keen on #green than global counterparts; preparing for impacts of climate change...[link]	0.7896
1	RT @carbonmarket: Ask the G8 & G20 to support #biochar. Fight climate change & food shortage! Check this HuffPo post: [link]	0.617
1	RT @christellar: Whale DooDoo could help fight #climate change? Sure! Why not!? [link]	0.7868
1	Global warming science good news - Soils release less carbon than though as world warms: [link]	0.8236
1	So it*s April 27th, Phoenix has 90•_Á weather & it might snow in New York today.. Hmmmm.. Global warming MUCH !	0.7863
1	Higher temperature, sea level due to global warming|KUALA LUMPUR: Malaysia's average temperature has risen by 1.1 .. [link]	1
1	Higher temperature, sea level due to global warming|KUALA LUMPUR: Malaysia's average temperature has risen by 1.1 .. [link]	1
0	West Mediterranean countries unite on climate change (AFP) [link]	0.5986
1	Cleaner Air Could Speed Global Warming|Hugh Pickens writes \Scientists estimate that the US Clean Air Act has cut .. [link]	0.7835
0	3,000 Businesses Create New Ad for Climate Change Action [link]	0.5995
1	Person #1:"Snow, then 65 degrees on the same day? Weather doesn't even surprise me anymore." Person #2:"That's why global warming will win."	0.8121
0	Just heard an interesting report on report on understanding climate change/climate variability influence on human evolution and dispersal	0.8009
1	RT @Newsweek: Global Warming Kills Forests In Colorado [link]	1
1	RT @jerryjamesstone: Alaska Before the Effects of Global Warming [pics]: [link]	1
0	New blog post: Mandating energy benchmarking: The next step for cities in addressing #climate change? [link]	0.7941
1	RealDocWatson on global warming: Go to Antarctica and stake a claim now! It will be like Florida in a few years!	0.774
1	How much trouble does global warming mean for agriculture? Just ask the wine industry. [link]	1
1	Arctic Beauty in Black and White: Alaska Before the Effects of Global Warming [Slide Show] [link]	1
1	Climate Change: From Paris to the Alps, European Places in Peril (photos) [link]	1
0	How Climate Change Will Change The Electoral Map: The National Oceanic and Atmospheric Administration isn't known ... [link]	0.6395
1	M Report: Cleaner Air Could Actually Intensify Global Warming: As much of the world marked Earth Day this past week, the Environmental...	0.8018
1	RT @Newsweek: Global Warming Kills Forests In Colorado [link]	1
1	Global warming is a threat, after all|Tim Blair rounds up the latest news from the wild frontiers of global .. [link]	1
1	Kuna Indians Prepare For Relocation As Traditional Homes Sink Due To Climate Change [link]	1
1	How Global Warming Is Killing California's Wine Buzz: Dr. Kimberley Cahill presented on "Climate Change in Califor... [link]	1
0	RT @uncajoe: uncajoe: PLZ RT & #Digg Climate Of Hate: The Politics Of Climate Change Denial: As H... [link]	0.6348
1	GLOBAL WARMING: Ocean chemistry is changing faster than it has in 800,000 years|And that's because of the carbon .. [link]	1
1	GLOBAL WARMING: Ocean chemistry is changing faster than it has in 800,000 years|And that's because of the carbon .. [link]	1
1	Good going douche. I'm sure there is no climate change in your backass world - Graham move imperils Obama agenda - [link]	0.8017
1	Ski resorts fight global warming|SALT LAKE CITY (AP) ? Ski resorts across the U.S. are using this Thanksgiving .. [link]	1
1	Ski resorts fight global warming|SALT LAKE CITY (AP) ? Ski resorts across the U.S. are using this Thanksgiving .. [link]	1
1	Bats, Birds and Lizards Can Fight Climate Change By Eating Insects: Birds, bats and lizards may play an important... [link]	0.8149
1	RT @indiaenvportal: Make IT green: cloud computing and its contribution to climate change  [link]	0.6484
1	RT @HeidiAmes: Climate change favors invasive species over indigenous ones. 30% of plants Thoreau saw are now extinct. [link]	1
1	scary RT @ClimateProject Climate change altering U.S. seasons: Spring 10 days early: [link]	1
0	RT @thompsonPLC @boliviaun Pres Evo Morales in @LATimes climate change:lessons from indigenous peoples [link]	0.6088
1	RT @Newsweek: Global Warming Kills Forests In Colorado [link]	1
1	MediaGlobal report on special Tipping Point Earth Day event: Science and art mobilize to fight climate change [link]	0.7884
0	a review of yesterday's discussions: [link]	0.7913
1	Global Warming Kills Forests In Colorado [link]	1
1	Combating climate change: lessons from the world's indigenous peoples: When I arrived at the United Nations climat... [link]	0.599
1	Africa: Meteorology Services Gear Up for Climate Change: On the continent most vulnerable to climate c... [link]	0.8814
0	GECKO 10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention ... [link]	0.5868
1	China: The Key To Fixing Global Warming|With rapid expansion comes sizable environmental impact, so the world's .. [link]	1
1	China: The Key To Fixing Global Warming|With rapid expansion comes sizable environmental impact, so the world's .. [link]	0.776
1	Now on PBS: Going Green New York: Examining how New Yorkers are confronting climate change Check local listings [link]	1
1	Official NASA Report: Sun Causes Climate Change:  [link]	1
1	RT @TreeHugger RT @huffpostgreen well this is just crazy: Coal CEO Calls Mine Safety Rules 'As Silly As Global Warming' [link]	0.6584
1	RT @sciam: Impacts of Climate Change Extend to Human Health [link]	1
1	Impacts of Climate Change Extend to Human Health [link]	1
0	The good news about the very bad news (about climate change) by Rebecca Solnit [link]	0.611
1	Alpha Phi Alpha Takes on Climate Change and Energy Efficiency - [link]	0.8256
0	GECKO 10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention ... [link]	0.5693
1	Natural variability does not explain global warming, climate scientists tell popular TV meteorologist [link]	0.634
1	Rebecca Solnit: 350 Degrees of Inseparability: The Good News About the Very Bad News (About Climate Change) [link]	0.6458
1	Watch video: Climate change threatens sacred Tibetan mountain, including land known as Shangri-La [link]	1
1	African Meteorology Services Gear Up for Climate Change. (america.gov) #IRI [link]	0.5944
1	Economists Say Climate Change Is Bad For Economy [link]	0.7866
1	Economists Say Climate Change Is Bad For Economy [link]	0.646
1	Report: Allergy Season to Get Worse with Climate Change (Time.com) [link]	0.817
1	Don•À_t Kill Bill •À_ Save the Climate Change Accountability Act! [link]	1
1	RT @Oxfam #Climate change makes farmers & pastoralists in #Ethiopia increasingly vulnerable [link]	0.5976
1	Denis Hayes, founder of Earth Day, compares global climate change to Irish Famine (IrishCentral) News Weather Politics [link]	0.6359
1	RT @Oxfam: #Climate change makes farmers & pastoralists in #Ethiopia increasingly vulnerable [link]	1
1	ITS #EARTHDAY!!! Be aware of what you consume, waste, & how you treat this place. we only have 1 & as we can see global warming is in effect	1
1	Earth Day: Ben Verwaayen on what we're doing to curb climate change [link]	0.8136
1	HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link]	1
1	HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link]	0.8078
1	HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link]	0.8221
1	HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link]	1
0	GECKO 10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention ... [link]	0.7778
1	10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention biofuel... [link]	0.6015
1	Climate change could raise cost of U.S. allergies (Reuters) [link]	0.5851
1	Treating Climate Change as a Curable Disease: Bioethicists and international law experts met in Asilomar later las... [link]	0.596
0	Treating Climate Change as a Curable Disease: Bioethicists and international law experts met in Asilomar later las... [link]	0.653
1	well this is just crazy: Coal CEO Calls Mine Safety Rules 'As Silly As Global Warming' [link]	1
1	Military leads fight against climate change [link]	0.8037
1	Military leads fight against climate change: The U.S. military, the government's largest fuel buyer, is leading th... [link]	0.8201
1	10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention biofuel... [link]	0.5685
1	Swedish expert says CO2 is not the main cause of global warming|Swedish climate expert Dr. Fred Goldberg has said .. [link]	0.6099
1	Fighting poverty and global warming in Africa [link]	1
1	RT @greenforyou: Treating Climate Change as a Curable Disease | Wired Science | Wired.com #green [link]	0.5973
0	[link]	1
1	Thursday on PBS: Going Green New York: Examining how New Yorkers are confronting climate change Check local listings [link]	1
1	UN •À_ Only Global Cooperation Can Prevent Runaway Climate Change, Secretary •À_: The United Nations seeks dialogue, i... [link]	1
1	Carbon offsets: How a Vatican forest failed to reduce global warming [link]	1
1	Carbon offsets: How a Vatican forest failed to reduce global warming [link]	1
1	rt @democracy_now "Most Important Event in Struggle Against Climate Change" - Nigerian Environmentalist Nnimmo Bassey [link]	1
1	Military leads fight against climate change: Pew [link]	1
1	Report identifies 11 diseases & health issues affctd by climate change. Once u inclde mental health evrything's @ stake [link]	0.7808
1	For Earth Day: Resources on coping with climate change: [link]	1
1	Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link]	1
1	Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link]	1
0	Fedele Bauccio: Combating Climate Change One Meal at a Time: This week, Americans will celebrate the 40th anniver... [link]	0.5729
1	RT @egeemnz @mrdannyglover i support world people's conf on climate change in cochabamba,bolivia.watch live [link]	0.8046
1	Barrett: better to have lots of small protocols on climate change than pushing for one comprehensive one	1
1	Topography of mountains could complicate rates of global warming [link]	1
1	RT @mrdannyglover i support the world people's conference on climate change in cochabamba, bolivia. watch live now at [link]	0.6141
1	Many global issues require universal co-operation to address e.g. smallpox, ozone layer, climate change	0.5849
0	RT @hereisawayjose Bolivia President on Global Warming [link]	0.5891
1	RT @indiawater: Boiling Point: Containing the spill over of climate change in the Indian subcontinent - A•À_ [link]	0.5362
1	No link now between Eyjafjallaj•__kull and climate change, but a warming world could trigger earthquakes, landslides... [link]	0.6195
1	URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link]	0.8168
1	URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link]	0.8033
1	URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link]	0.8133
1	Carbon offsets: How a Vatican forest failed to reduce global warming [link]	1
1	Carbon offsets: How a Vatican forest failed to reduce global warming [link]	0.7937
1	Ethiopia: Climate Change Increasing Poverty And Vulnerability [link]	1
1	Ethiopia: Climate Change Increasing Poverty And Vulnerability: Small-scale farmers and pastoralists i... [link]	1
1	RT @democracy_now: "The Most Important Event in the Struggle Against Climate Change" - Nigerian Environmentalist Nnimmo Bassey on •À_ [link]	0.8272
1	"The Most Important Event in the Struggle Against Climate Change" - Nigerian Environmentalist Nnimmo Bassey on •À_ [link]	0.8148
1	RT @sejorg: RT @JaymiHeimbuch: Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link]	1
1	RT @energysection: Backgrounder: China's major policies to tackle climate change since year 2000.. [link]	0.5833
1	UW biologist links early blooms to global warming|Associated Press - April 21, 2010 6:15 AM ET STEVENS POINT, .. [link]	0.8026
1	UW biologist links early blooms to global warming|Associated Press - April 21, 2010 6:15 AM ET STEVENS POINT, .. [link]	0.8125
1	Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link]	1
1	Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link]	1
1	Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link]	1
1	Will Global Warming Make Iceland's Volcanoes Angry?|Melting glaciers around the world could trigger a global .. [link]	1
1	Will Global Warming Make Iceland's Volcanoes Angry?|Melting glaciers around the world could trigger a global .. [link]	0.6167
1	Climate Change: Could NYC Get Katrina-Like Flood in a Warmer, Wetter Future? - Sea Level Rise of 2 Feet in 70yrs [link]	0.7732
1	Climate Change: Geologists Drill Into Antarctica & Find Troubling Signs 4 Ice Sheets' Future •À_  Melt Could Come FAST [link]	1
1	"Either Capitalism dies or Mother Earth does" Evo Morales Claims in the People's World Conference on Climate Change [link]	0.8205
1	RT @rubberstamprosk: RT @MotherJones: Yet another gift from global warming: increased allergy attacks [link]	1
1	Africa: Time Bomb Awaiting Africa: THERE is no doubt that climate change as an environmental issue ha... [link]	1
1	Buying carbon offsets may ease eco-guilt but not global warming: [link]	0.6772
1	RT @Qorianka: All Eyes on #Cochabamba Those alrdy suffering from global warming 'll havechancetospeakout" [link]	1
0	RT @EcoSteward: This #EcoMonday, @InvasiveNotes discussion of climate change and invasive species recommended: [link]	0.5844
1	Migratory Birds' New Climate Change Strategy: Stay Home [link]	0.7887
1	On ocean floor populations of organisms despite little oxygen. global warming cause oxygen depletion&reduce biodiversity[link]	1
1	Join us for a discussion on Earth Day 4/22: Climate Change & Food Security - Irreversible Destiny? [link]	0.7789
0	RT @NWF: New York City's new waterfront plan will take climate change into consideration: [link]	0.5363
1	Pat Mooney on the Dangers of Geoengineering and Manipulating the Planet to Combat Climate Change [link]	0.605
1	Seasonal Allergies Getting Worse From Climate Change [link]	1
1	Just because I believe in global warming, peeps thinks I should believe in god instead. Why??	1
1	Seasonal Allergies Getting Worse From Climate Change [link]	0.6652
1	Seasonal Allergies Getting Worse From Climate Change [link]	1
1	@Zener39 I advise everyone who thinks global warming is dead to buy oceanfront property and live there.  See ya!	1
1	Global Warming, Melting Ice Caps Could Help Trigger More Volcanic Eruptions [link]	1
1	Mary Ellen Harte and John Harte: Addressing Climate Change: Winning the War on Sustainability: At its heart, clim... [link]	0.7923
1	RT @Drudge_Report: STATE DEPT. DECLARES:   'Global warming unequivocal and primarily human-induced'... [link]	0.6131
1	Increasingly, corporations are concluding climate change is real. Betting on Climate Change | Wired.com [link]	0.5843
1	Right on! Richard Branson's #EarthDay message 2 biz "Get ur house in order.Fight global warming!#green #eco [link]	0.7916
1	[#Meat-Wise]  Cynthia Bateman on Meat-Wise Monday: How Animal Agriculture Makes Global Warming Worse [link]	1
1	Global Warming, Melting Ice Caps Could Help Trigger More Volcanic Eruptions [link]	0.6037
1	STATE DEPT. DECLARES:   'Global warming unequivocal and primarily human-induced'... [link]	0.6063
1	Global warming, melting ice caps could trigger more volcanic eruptions: [link]	1
1	@LilFerret hey! We came up with all kinds of ideas for fixing global warming! Loved my Environmentalism class. *sighs*	1
1	An Overview of the Green Car Revolution | Going Green: The increasing awareness about the threat of global warming... [link]	1
1	Southern Africa: Competing for Limpopo Water: Climate change will bring higher temperatures to Southe... [link]	0.8113
1	2nd eruption of Hekla in Iceland. Let's call 2010, the year the Earth struck back. "This is for global warming and THIS is for oil spills!"	1
1	RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link]	1
1	RT @EpiscopalRelief: Bishop Lane, #Episcopal Dio of #Maine: Climate change most important issue of our time - #Bangor Daily Nws [link]	0.8036
0	RT @TreeHugger: In case you were wondering: What Impact Will The Volcano In Iceland Have On Climate Change? [link]	0.5928
1	Cool it, global warming is bad enough without you heating things up.|In the interest of honest discussion, can we .. [link]	1
1	RT @InvasiveNotes: RT @RareWildlifeGuy: Climate change: Migration patterns have changed for 20 billion birds:   [link]	1
1	RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link]	0.7973
1	Volcanic ash cloud: Global warming may trigger more volcanoes|Climate change could spark more ''hazardous'' .. [link]	1
1	Volcanic ash cloud: Global warming may trigger more volcanoes|Climate change could spark more ''hazardous'' .. [link]	0.814
1	Just briefed on global cooling & volcanoes via @abc But I wonder ... if it gets to the stratosphere can it slow/improve global warming??	0.7834
1	Climate Change-ing your Allergies [link]	0.6015
1	RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link]	1
0	Obama says China can't 'wait' on climate change: Sydney (AFP) April 15, 2010 - US President Barack Obama on Thursd... [link]	0.6121
1	RT @beckbasher: RT @IanDavidB: RT @Shoq: CLIMATE CHANGE DENIERS: Bobby Jindal mocked volcano warnings. Read the papers lately? Start thinking for yourselves	0.5904
1	RT @TEDNews: Cara Mertes at #tedxvolcano: We're all stranded this weekend. And we're getting a sneak preview of climate change. We have to adapt.	0.8233
1	Larry Brilliant at #TEDxVolcano: "We have to fight for science; the single most important thing we face is climate change" #socmedia @enviro	0.8105
1	Larry Brilliant at TEDxVolcano: "We have to fight for science; the single most important thing we face is climate change" #socent #green	1
1	Damn man that ash cloud in Europe is crazy, they say due to global warming with the volcano activating,getting crazy	0.7788
